X;Y
1.0;0.2
2.0;0.4
3.0;0.4
4.0;0.2
5.0;0.6
6.0;0.6
7.0;0.2
8.0;0.2
9.0;0.4
10.0;0.6
11.0;1.0
12.0;0.0
13.0;0.6
14.0;0.6
15.0;1.0
16.0;0.4
17.0;0.4
18.0;0.8
19.0;0.2
20.0;1.0
21.0;0.6
22.0;0.4
23.0;0.0
24.0;0.0
25.0;0.6
26.0;0.0
27.0;0.4
28.0;0.4
29.0;0.6
30.0;0.2
31.0;0.8
32.0;0.4
33.0;1.0
34.0;0.6
35.0;0.4
36.0;0.2
37.0;0.8
38.0;0.8
39.0;0.4
40.0;0.0
41.0;0.4
42.0;0.8
43.0;0.8
44.0;1.0
45.0;0.4
46.0;0.4
47.0;0.4
48.0;0.2
49.0;1.0
50.0;0.6
51.0;0.8
52.0;0.2
53.0;0.6
54.0;0.8
55.0;0.0
56.0;0.2
57.0;0.6
58.0;0.8
59.0;0.4
60.0;0.0
61.0;0.8
62.0;0.8
63.0;0.2
64.0;0.4
65.0;0.6
66.0;0.4
67.0;0.4
68.0;0.4
69.0;0.4
70.0;0.4
71.0;0.4
72.0;0.6
73.0;0.6
74.0;0.4
75.0;0.6
76.0;0.6
77.0;0.4
78.0;0.4
79.0;0.6
80.0;0.6
81.0;0.8
82.0;0.6
83.0;0.6
84.0;0.8
85.0;0.0
86.0;0.2
87.0;0.0
88.0;0.4
89.0;0.6
90.0;1.0
91.0;0.6
92.0;0.8
94.0;0.6
95.0;0.4
96.0;0.2
97.0;0.4
98.0;0.6
99.0;0.6
100.0;0.6
