X;Y
1.0;0.2
2.0;0.2
3.0;0.3
4.0;0.0
5.0;0.7
6.0;0.4
7.0;0.2
8.0;0.1
9.0;0.2
10.0;0.5
11.0;0.8
12.0;0.0
13.0;0.5
14.0;0.4
15.0;0.6
16.0;0.6
17.0;0.3
18.0;0.6
19.0;0.1
20.0;0.9
21.0;0.4
22.0;0.7
23.0;0.2
24.0;0.1
25.0;0.3
26.0;0.4
27.0;0.2
28.0;0.6
29.0;0.1
30.0;0.2
31.0;0.6
32.0;0.3
33.0;0.9
34.0;0.7
35.0;0.3
36.0;0.1
37.0;0.8
38.0;0.1
39.0;0.3
40.0;0.2
41.0;0.4
42.0;0.6
43.0;0.7
44.0;0.9
45.0;0.4
46.0;0.3
47.0;0.1
48.0;0.2
49.0;0.7
50.0;0.4
51.0;0.6
52.0;0.1
53.0;0.4
54.0;0.6
55.0;0.0
56.0;0.1
57.0;0.7
58.0;1.0
59.0;0.4
60.0;0.2
61.0;0.7
62.0;0.7
63.0;0.3
64.0;0.5
65.0;0.6
66.0;0.3
67.0;0.3
68.0;0.2
69.0;0.2
70.0;0.2
71.0;0.3
72.0;0.5
73.0;0.4
74.0;0.3
75.0;0.6
76.0;0.4
77.0;0.2
78.0;0.1
79.0;0.4
80.0;0.5
81.0;0.5
82.0;0.1
83.0;0.3
84.0;0.5
85.0;0.1
86.0;0.3
87.0;0.1
88.0;0.1
89.0;0.4
90.0;1.0
91.0;0.5
92.0;0.5
94.0;0.3
95.0;0.3
96.0;0.1
97.0;0.2
98.0;0.3
99.0;0.3
100.0;0.3
