X;Y
1.0;0.0909090909090909
2.0;0.23529411764705882
3.0;0.11320754716981132
4.0;0.0
5.0;0.09929078014184396
6.0;0.23529411764705882
7.0;0.10526315789473682
8.0;0.06250000000000001
9.0;0.20000000000000004
10.0;0.28571428571428575
11.0;0.5000000000000001
12.0;0.0
13.0;0.29411764705882354
14.0;0.12307692307692307
15.0;0.10526315789473685
16.0;0.06315789473684211
17.0;0.0923076923076923
18.0;0.3870967741935483
19.0;0.06250000000000001
20.0;0.3214285714285714
21.0;0.22857142857142856
22.0;0.175
23.0;0.08888888888888888
24.0;0.04878048780487805
25.0;0.09836065573770492
26.0;0.186046511627907
27.0;0.1904761904761905
28.0;0.19672131147540983
29.0;0.037037037037037035
30.0;0.14814814814814817
31.0;0.17647058823529413
32.0;0.15
33.0;0.26865671641791045
34.0;0.2857142857142857
35.0;0.25
36.0;0.10526315789473685
37.0;0.1481481481481481
38.0;0.031746031746031744
39.0;0.03488372093023255
40.0;0.02564102564102564
41.0;0.32
42.0;0.21052631578947367
43.0;0.12962962962962962
44.0;0.11999999999999998
45.0;0.26666666666666666
46.0;0.21428571428571427
47.0;0.028571428571428574
48.0;0.1
49.0;0.30434782608695654
50.0;0.22857142857142856
51.0;0.04780876494023904
52.0;0.16666666666666669
53.0;0.24242424242424243
54.0;0.16666666666666666
55.0;0.0
56.0;0.047619047619047616
57.0;0.2295081967213115
58.0;0.1904761904761905
59.0;0.05161290322580645
60.0;0.0909090909090909
61.0;0.175
62.0;0.0909090909090909
63.0;0.12244897959183675
64.0;0.16666666666666669
65.0;0.11538461538461536
66.0;0.0821917808219178
67.0;0.25
68.0;0.07272727272727272
69.0;0.16
70.0;0.14814814814814817
71.0;0.37499999999999994
72.0;0.4347826086956522
73.0;0.2857142857142857
74.0;0.3529411764705882
75.0;0.3870967741935483
76.0;0.29629629629629634
77.0;0.04347826086956522
78.0;0.02298850574712644
79.0;0.1509433962264151
80.0;0.22727272727272727
81.0;0.2631578947368421
82.0;0.027777777777777776
83.0;0.14285714285714285
84.0;0.38461538461538464
85.0;0.04878048780487805
86.0;0.10526315789473684
87.0;0.041666666666666664
88.0;0.08333333333333333
89.0;0.29629629629629634
90.0;0.5263157894736842
91.0;0.03184713375796178
92.0;0.07751937984496125
94.0;0.11320754716981132
95.0;0.3157894736842105
96.0;0.0909090909090909
97.0;0.1904761904761905
98.0;0.24
99.0;0.4
100.0;0.28571428571428564
